FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,16/01/2025 15:06:14.688
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
16/01/2025 15:06:14.688,0,-0.1355932203,-0.06751054852,-1.072649573,-64
16/01/2025 15:06:14.788,1,-0.3305084746,-0.2362869198,-1.192307692,-63
16/01/2025 15:06:14.888,2,-0.3305084746,-0.2362869198,-1.175213675,-63
16/01/2025 15:06:14.988,3,-0.343220339,-0.2320675105,-1.183760684,-65
16/01/2025 15:06:15.088,4,-0.3262711864,-0.2278481013,-1.188034188,-65
16/01/2025 15:06:15.188,5,-0.3177966102,-0.2362869198,-1.175213675,-65
16/01/2025 15:06:15.288,6,-0.343220339,-0.2194092827,-1.183760684,-65
16/01/2025 15:06:15.387,7,-0.3220338983,-0.2278481013,-1.183760684,-67
16/01/2025 15:06:15.488,8,-0.3220338983,-0.2320675105,-1.175213675,-65
16/01/2025 15:06:15.588,9,-0.3474576271,-0.2194092827,-1.175213675,-66
16/01/2025 15:06:15.688,10,-0.343220339,-0.2362869198,-1.175213675,-65
16/01/2025 15:06:15.788,11,-0.3262711864,-0.2278481013,-1.175213675,-67
16/01/2025 15:06:15.888,12,-0.3474576271,-0.2320675105,-1.188034188,-65
16/01/2025 15:06:15.988,13,-0.3305084746,-0.2362869198,-1.183760684,-65
16/01/2025 15:06:16.087,14,-0.3220338983,-0.2278481013,-1.188034188,-65
16/01/2025 15:06:16.188,15,-0.313559322,-0.2278481013,-1.175213675,-63
16/01/2025 15:06:16.288,16,-0.313559322,-0.2278481013,-1.175213675,-65
16/01/2025 15:06:16.388,17,-0.3347457627,-0.223628692,-1.179487179,-65
16/01/2025 15:06:16.488,18,-0.3389830508,-0.2278481013,-1.170940171,-65
16/01/2025 15:06:16.587,19,-0.3389830508,-0.2320675105,-1.170940171,-66
16/01/2025 15:06:16.688,20,-0.3220338983,-0.2405063291,-1.179487179,-65
16/01/2025 15:06:16.788,21,-0.3262711864,-0.2320675105,-1.170940171,-66
16/01/2025 15:06:16.888,22,-0.3262711864,-0.2447257384,-1.170940171,-65
16/01/2025 15:06:16.987,23,-0.3262711864,-0.2362869198,-1.188034188,-65
16/01/2025 15:06:17.088,24,-0.3305084746,-0.2278481013,-1.183760684,-66
16/01/2025 15:06:17.188,25,-0.3347457627,-0.2362869198,-1.183760684,-67
16/01/2025 15:06:17.288,26,-0.3305084746,-0.223628692,-1.188034188,-67
16/01/2025 15:06:17.388,27,-0.3389830508,-0.223628692,-1.183760684,-67
16/01/2025 15:06:17.487,28,-0.343220339,-0.223628692,-1.166666667,-67
16/01/2025 15:06:17.588,29,-0.3177966102,-0.2278481013,-1.183760684,-67
16/01/2025 15:06:17.688,30,-0.3220338983,-0.2320675105,-1.166666667,-67
16/01/2025 15:06:17.788,31,-0.3305084746,-0.2320675105,-1.183760684,-67
16/01/2025 15:06:17.888,32,-0.3474576271,-0.2320675105,-1.175213675,-66
16/01/2025 15:06:17.987,33,-0.3177966102,-0.2320675105,-1.183760684,-64
16/01/2025 15:06:18.088,34,-0.3389830508,-0.2405063291,-1.175213675,-65
16/01/2025 15:06:18.188,35,-0.3389830508,-0.2320675105,-1.192307692,-65
16/01/2025 15:06:18.288,36,-0.3389830508,-0.2151898734,-1.200854701,-66
16/01/2025 15:06:18.388,37,-0.3262711864,-0.2194092827,-1.183760684,-66
16/01/2025 15:06:18.487,38,-0.3262711864,-0.253164557,-1.170940171,-65
16/01/2025 15:06:18.588,39,-0.3474576271,-0.2362869198,-1.183760684,-65
16/01/2025 15:06:18.688,40,-0.3474576271,-0.2405063291,-1.179487179,-65
16/01/2025 15:06:18.787,41,-0.3474576271,-0.2320675105,-1.175213675,-67
16/01/2025 15:06:18.888,42,-0.3305084746,-0.2320675105,-1.170940171,-67
16/01/2025 15:06:18.988,43,-0.3305084746,-0.2067510549,-1.175213675,-68
16/01/2025 15:06:19.088,44,-0.3220338983,-0.2109704641,-1.179487179,-67
16/01/2025 15:06:19.188,45,-0.3389830508,-0.2278481013,-1.192307692,-67
16/01/2025 15:06:19.287,46,-0.313559322,-0.2278481013,-1.188034188,-65
16/01/2025 15:06:19.388,47,-0.3262711864,-0.253164557,-1.179487179,-63
16/01/2025 15:06:19.488,48,-0.3220338983,-0.2742616034,-1.192307692,-63
16/01/2025 15:06:19.588,49,-0.3347457627,-0.2700421941,-1.200854701,-63
16/01/2025 15:06:19.688,50,-0.3474576271,-0.2573839662,-1.188034188,-64
16/01/2025 15:06:19.787,51,-0.3389830508,-0.2362869198,-1.175213675,-64
16/01/2025 15:06:19.888,52,-0.3305084746,-0.2194092827,-1.179487179,-65
16/01/2025 15:06:19.988,53,-0.3262711864,-0.2067510549,-1.188034188,-67
16/01/2025 15:06:20.088,54,-0.3305084746,-0.194092827,-1.175213675,-68
16/01/2025 15:06:20.188,55,-0.3177966102,-0.1983122363,-1.166666667,-68
16/01/2025 15:06:20.287,56,-0.3347457627,-0.2109704641,-1.175213675,-68
16/01/2025 15:06:20.388,57,-0.3262711864,-0.2320675105,-1.170940171,-67
16/01/2025 15:06:20.488,58,-0.3389830508,-0.2447257384,-1.175213675,-65
16/01/2025 15:06:20.588,59,-0.3347457627,-0.2573839662,-1.175213675,-65
16/01/2025 15:06:20.688,60,-0.343220339,-0.2616033755,-1.166666667,-64
16/01/2025 15:06:20.787,61,-0.3305084746,-0.2489451477,-1.196581197,-64
16/01/2025 15:06:20.888,62,-0.3262711864,-0.2447257384,-1.183760684,-65
16/01/2025 15:06:20.988,63,-0.3305084746,-0.223628692,-1.188034188,-66
16/01/2025 15:06:21.088,64,-0.3305084746,-0.2109704641,-1.183760684,-69
16/01/2025 15:06:21.188,65,-0.3262711864,-0.223628692,-1.175213675,-69
16/01/2025 15:06:21.388,67,-0.3220338983,-0.2151898734,-1.170940171,-66
16/01/2025 15:06:21.488,68,-0.3220338983,-0.2405063291,-1.170940171,-65
16/01/2025 15:06:21.588,69,-0.3177966102,-0.2362869198,-1.170940171,-64
16/01/2025 15:06:21.688,70,-0.3262711864,-0.2405063291,-1.179487179,-63
16/01/2025 15:06:21.787,71,-0.3347457627,-0.2320675105,-1.170940171,-63
16/01/2025 15:06:21.888,72,-0.3347457627,-0.2362869198,-1.170940171,-63
16/01/2025 15:06:21.988,73,-0.3262711864,-0.2067510549,-1.170940171,-65
16/01/2025 15:06:22.088,74,-0.343220339,-0.2194092827,-1.170940171,-65
16/01/2025 15:06:22.188,75,-0.3262711864,-0.2194092827,-1.196581197,-65
16/01/2025 15:06:22.287,76,-0.3474576271,-0.223628692,-1.170940171,-65
16/01/2025 15:06:22.388,77,-0.313559322,-0.2362869198,-1.175213675,-64
16/01/2025 15:06:22.488,78,-0.3305084746,-0.2447257384,-1.179487179,-63
16/01/2025 15:06:22.588,79,-0.3305084746,-0.2447257384,-1.175213675,-64
