FILE_INFO,,,,,,,
ListSeparator=comma,,,,,,,
DecimalSeparator=period,,,,,,,
,,,,,,,
SESSION_INFO,,,,,,,
TimeZone,GMT,,,,,,
TimeZoneOffset,0,,,,,,
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn,,,,,,
StartTime,39:48.8,,,,,,
TimeFormat,Absolute,,,,,,
TimeSource,PC,,,,,,
,,,,,,,
DEVICE_INFO,,,,,,,
Port,COM 5,,,,,,
BaseSerial,2615-1218,,,,,,
Address,417,,,,,,
ModelName,G-Link 2G,,,,,,
SerialNumber,2313--1431699456,,,,,,
FirmwareVersion,6.03,,,,,,
,,,,,,,
CHANNEL_INFO,,,,,,,
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,
,,,,,,,
DATA_START,,,,,,,
Time,Tick,ch1,ch2,ch3,Base RSSI,,
54:33.4,0,-0.148305085,-0.067510549,-1.085470085,-71,,
54:33.6,2,-0.360169492,-0.227848101,-1.188034188,-69,,
54:33.7,3,-0.347457627,-0.227848101,-1.188034188,-69,,
54:33.8,4,-0.360169492,-0.223628692,-1.188034188,-69,,
54:33.9,5,-0.355932203,-0.223628692,-1.179487179,-70,,
54:34.0,6,-0.36440678,-0.219409283,-1.166666667,-71,,
54:34.1,7,-0.347457627,-0.215189873,-1.153846154,-69,,
54:34.2,8,-0.36440678,-0.215189873,-1.170940171,-71,,
54:34.3,9,-0.343220339,-0.227848101,-1.153846154,-69,,
54:34.4,10,-0.338983051,-0.227848101,-1.175213675,-67,,
54:34.5,11,-0.334745763,-0.219409283,-1.166666667,-67,,
54:34.6,12,-0.343220339,-0.219409283,-1.188034188,-69,,
54:34.7,13,-0.338983051,-0.223628692,-1.188034188,-73,,
54:34.8,14,-0.343220339,-0.223628692,-1.170940171,-73,,
54:34.9,15,-0.351694915,-0.215189873,-1.179487179,-73,,
54:35.0,16,-0.360169492,-0.219409283,-1.183760684,-69,,
54:35.1,17,-0.355932203,-0.215189873,-1.179487179,-72,,
54:35.2,18,-0.355932203,-0.219409283,-1.175213675,-73,,
54:35.3,19,-0.355932203,-0.223628692,-1.170940171,-71,,
54:35.4,20,-0.334745763,-0.215189873,-1.158119658,-70,,
54:35.5,21,-0.343220339,-0.219409283,-1.170940171,-69,,
54:35.6,22,-0.347457627,-0.215189873,-1.158119658,-71,,
54:35.7,23,-0.338983051,-0.232067511,-1.158119658,-67,,
54:35.8,24,-0.372881356,-0.227848101,-1.170940171,-70,,
54:35.9,25,-0.36440678,-0.219409283,-1.188034188,-69,,
54:36.0,26,-0.355932203,-0.219409283,-1.179487179,-69,,
54:36.1,27,-0.338983051,-0.23628692,-1.188034188,-73,,
54:36.2,28,-0.343220339,-0.223628692,-1.175213675,-79,,
54:36.3,29,-0.334745763,-0.219409283,-1.179487179,-77,,
54:36.4,30,-0.347457627,-0.210970464,-1.175213675,-75,,
54:36.5,31,-0.334745763,-0.185654008,-1.196581197,-74,,
54:36.7,33,-0.343220339,-0.215189873,-1.179487179,-76,,
54:36.8,34,-0.347457627,-0.232067511,-1.179487179,-90,,
54:36.9,35,-0.360169492,-0.223628692,-1.166666667,-83,,
54:37.0,36,-0.360169492,-0.210970464,-1.166666667,-81,,
54:37.1,37,-0.351694915,-0.210970464,-1.170940171,-76,,
54:37.2,38,-0.36440678,-0.215189873,-1.175213675,-73,,
54:37.3,39,-0.334745763,-0.215189873,-1.179487179,-71,,
54:37.4,40,-0.347457627,-0.223628692,-1.170940171,-70,,
54:37.5,41,-0.355932203,-0.227848101,-1.170940171,-71,,
54:37.6,42,-0.343220339,-0.219409283,-1.183760684,-70,,
54:37.7,43,-0.355932203,-0.232067511,-1.183760684,-69,,
54:37.8,44,-0.355932203,-0.215189873,-1.175213675,-68,,
54:37.9,45,-0.347457627,-0.215189873,-1.175213675,-69,,
54:38.0,46,-0.347457627,-0.223628692,-1.188034188,-71,,
54:38.1,47,-0.355932203,-0.223628692,-1.162393162,-70,,
54:38.2,48,-0.355932203,-0.232067511,-1.158119658,-75,,
54:38.3,49,-0.343220339,-0.210970464,-1.170940171,-76,,
54:38.4,50,-0.347457627,-0.232067511,-1.166666667,-71,,
54:38.5,51,-0.351694915,-0.215189873,-1.170940171,-74,,
54:38.6,52,-0.338983051,-0.210970464,-1.175213675,-72,,
54:38.7,53,-0.343220339,-0.215189873,-1.183760684,-74,,
54:38.8,54,-0.355932203,-0.210970464,-1.179487179,-75,,
54:38.9,55,-0.343220339,-0.223628692,-1.188034188,-74,,
54:39.0,56,-0.355932203,-0.23628692,-1.188034188,-73,,
54:39.1,57,-0.351694915,-0.215189873,-1.188034188,-71,,
54:39.2,58,-0.347457627,-0.227848101,-1.170940171,-69,,
54:39.3,59,-0.351694915,-0.227848101,-1.183760684,-67,,
54:39.4,60,-0.334745763,-0.227848101,-1.166666667,-69,,
54:39.5,61,-0.36440678,-0.227848101,-1.175213675,-70,,
54:39.6,62,-0.334745763,-0.223628692,-1.175213675,-71,,
54:39.7,63,-0.36440678,-0.219409283,-1.175213675,-69,,
54:39.8,64,-0.343220339,-0.219409283,-1.166666667,-71,,
54:39.9,65,-0.343220339,-0.215189873,-1.166666667,-71,,
54:40.0,66,-0.360169492,-0.215189873,-1.166666667,-68,,
54:40.1,67,-0.338983051,-0.223628692,-1.179487179,-69,,
54:40.2,68,-0.360169492,-0.210970464,-1.170940171,-67,,
54:40.3,69,-0.330508475,-0.215189873,-1.183760684,-67,,
54:40.4,70,-0.351694915,-0.227848101,-1.188034188,-71,,
54:40.5,71,-0.338983051,-0.223628692,-1.166666667,-70,,
54:40.6,72,-0.351694915,-0.223628692,-1.175213675,-73,,
54:40.8,74,-0.338983051,-0.219409283,-1.170940171,-73,,
54:40.9,75,-0.360169492,-0.232067511,-1.179487179,-73,,
54:41.0,76,-0.330508475,-0.223628692,-1.170940171,-73,,
54:41.1,77,-0.36440678,-0.223628692,-1.170940171,-73,,
54:41.2,78,-0.343220339,-0.210970464,-1.179487179,-73,,
54:41.3,79,-0.360169492,-0.215189873,-1.170940171,-72,,
54:41.4,80,-0.360169492,-0.215189873,-1.166666667,-73,,
54:41.5,81,-0.343220339,-0.215189873,-1.179487179,-72,,
54:41.6,82,-0.343220339,-0.206751055,-1.179487179,-75,,
54:41.7,83,-0.355932203,-0.219409283,-1.175213675,-76,,
54:41.8,84,-0.351694915,-0.248945148,-1.170940171,-77,,
54:41.9,85,-0.334745763,-0.227848101,-1.196581197,-76,,
54:42.0,86,-0.355932203,-0.223628692,-1.183760684,-75,,
54:42.1,87,-0.368644068,-0.215189873,-1.179487179,-73,,
54:42.2,88,-0.343220339,-0.215189873,-1.170940171,-73,,
54:42.3,89,-0.343220339,-0.227848101,-1.158119658,-73,,
54:42.4,90,-0.36440678,-0.215189873,-1.175213675,-73,,
54:42.5,91,-0.347457627,-0.219409283,-1.158119658,-75,,
54:42.6,92,-0.343220339,-0.215189873,-1.179487179,-76,,
54:42.7,93,-0.343220339,-0.206751055,-1.170940171,-73,,
54:42.8,94,-0.355932203,-0.215189873,-1.175213675,-70,,
