FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,31/01/2025 15:23:16.956
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
31/01/2025 15:23:16.956,0,-0.1271186441,-0.05907172996,-1.064102564,-90
31/01/2025 15:23:17.056,1,-0.3220338983,-0.2278481013,-1.170940171,-92
31/01/2025 15:23:17.156,2,-0.3474576271,-0.2194092827,-1.170940171,-87
31/01/2025 15:23:17.356,4,-0.3177966102,-0.2194092827,-1.158119658,-72
31/01/2025 15:23:17.456,5,-0.3389830508,-0.223628692,-1.179487179,-73
31/01/2025 15:23:17.556,6,-0.3220338983,-0.2109704641,-1.179487179,-78
31/01/2025 15:23:17.655,7,-0.3305084746,-0.2194092827,-1.166666667,-77
31/01/2025 15:23:17.756,8,-0.3262711864,-0.2109704641,-1.179487179,-73
31/01/2025 15:23:17.856,9,-0.3177966102,-0.2278481013,-1.170940171,-74
31/01/2025 15:23:17.956,10,-0.343220339,-0.2194092827,-1.170940171,-77
31/01/2025 15:23:18.056,11,-0.3093220339,-0.2194092827,-1.183760684,-73
31/01/2025 15:23:18.156,12,-0.343220339,-0.2194092827,-1.175213675,-74
31/01/2025 15:23:18.256,13,-0.3177966102,-0.2194092827,-1.170940171,-70
31/01/2025 15:23:18.355,14,-0.3389830508,-0.2194092827,-1.179487179,-70
31/01/2025 15:23:18.456,15,-0.3305084746,-0.223628692,-1.179487179,-71
31/01/2025 15:23:18.556,16,-0.3262711864,-0.2067510549,-1.166666667,-76
31/01/2025 15:23:18.656,17,-0.3347457627,-0.2151898734,-1.166666667,-76
31/01/2025 15:23:18.756,18,-0.3347457627,-0.223628692,-1.183760684,-75
31/01/2025 15:23:18.855,19,-0.313559322,-0.2194092827,-1.162393162,-74
31/01/2025 15:23:18.956,20,-0.3347457627,-0.2151898734,-1.166666667,-74
31/01/2025 15:23:19.056,21,-0.3177966102,-0.223628692,-1.192307692,-73
31/01/2025 15:23:19.156,22,-0.3220338983,-0.2194092827,-1.175213675,-73
31/01/2025 15:23:19.255,23,-0.3305084746,-0.223628692,-1.183760684,-73
31/01/2025 15:23:19.356,24,-0.3305084746,-0.2151898734,-1.179487179,-74
31/01/2025 15:23:19.456,25,-0.3220338983,-0.2151898734,-1.170940171,-75
31/01/2025 15:23:19.556,26,-0.3093220339,-0.2194092827,-1.170940171,-75
31/01/2025 15:23:19.656,27,-0.3305084746,-0.223628692,-1.162393162,-75
31/01/2025 15:23:19.755,28,-0.3347457627,-0.2109704641,-1.162393162,-75
31/01/2025 15:23:19.856,29,-0.3220338983,-0.223628692,-1.170940171,-73
31/01/2025 15:23:19.956,30,-0.3177966102,-0.2151898734,-1.175213675,-73
31/01/2025 15:23:20.056,31,-0.3262711864,-0.223628692,-1.166666667,-74
31/01/2025 15:23:20.156,32,-0.3389830508,-0.223628692,-1.175213675,-75
31/01/2025 15:23:20.255,33,-0.3177966102,-0.223628692,-1.183760684,-74
31/01/2025 15:23:20.356,34,-0.313559322,-0.2194092827,-1.170940171,-72
31/01/2025 15:23:20.456,35,-0.3220338983,-0.2194092827,-1.179487179,-73
31/01/2025 15:23:20.556,36,-0.313559322,-0.2151898734,-1.183760684,-72
31/01/2025 15:23:20.656,37,-0.3177966102,-0.2151898734,-1.183760684,-72
31/01/2025 15:23:20.755,38,-0.3177966102,-0.2151898734,-1.179487179,-71
31/01/2025 15:23:20.856,39,-0.3347457627,-0.223628692,-1.205128205,-71
31/01/2025 15:23:20.956,40,-0.313559322,-0.2151898734,-1.158119658,-73
31/01/2025 15:23:21.055,41,-0.3389830508,-0.2194092827,-1.170940171,-75
31/01/2025 15:23:21.156,42,-0.3220338983,-0.2320675105,-1.166666667,-73
31/01/2025 15:23:21.256,43,-0.3262711864,-0.223628692,-1.158119658,-71
31/01/2025 15:23:21.356,44,-0.3093220339,-0.2151898734,-1.183760684,-73
31/01/2025 15:23:21.456,45,-0.3305084746,-0.2067510549,-1.179487179,-71
31/01/2025 15:23:21.555,46,-0.343220339,-0.2025316456,-1.175213675,-69
31/01/2025 15:23:21.656,47,-0.343220339,-0.2151898734,-1.179487179,-71
31/01/2025 15:23:21.756,48,-0.3389830508,-0.2025316456,-1.179487179,-73
31/01/2025 15:23:21.856,49,-0.313559322,-0.2067510549,-1.183760684,-75
31/01/2025 15:23:21.956,50,-0.3220338983,-0.223628692,-1.179487179,-77
31/01/2025 15:23:22.055,51,-0.3220338983,-0.223628692,-1.170940171,-84
31/01/2025 15:23:22.256,53,-0.3050847458,-0.223628692,-1.188034188,-81
31/01/2025 15:23:22.456,55,-0.3262711864,-0.2194092827,-1.166666667,-80
31/01/2025 15:23:22.555,56,-0.3262711864,-0.2109704641,-1.162393162,-75
31/01/2025 15:23:22.656,57,-0.3177966102,-0.2151898734,-1.170940171,-73
31/01/2025 15:23:22.756,58,-0.3262711864,-0.2067510549,-1.166666667,-71
31/01/2025 15:23:22.856,59,-0.313559322,-0.223628692,-1.170940171,-69
31/01/2025 15:23:22.956,60,-0.3262711864,-0.2194092827,-1.170940171,-73
31/01/2025 15:23:23.055,61,-0.3305084746,-0.223628692,-1.188034188,-72
31/01/2025 15:23:23.156,62,-0.3389830508,-0.2194092827,-1.175213675,-74
31/01/2025 15:23:23.256,63,-0.3220338983,-0.2151898734,-1.183760684,-70
31/01/2025 15:23:23.356,64,-0.3177966102,-0.223628692,-1.166666667,-70
31/01/2025 15:23:23.456,65,-0.3177966102,-0.2194092827,-1.166666667,-71
31/01/2025 15:23:23.555,66,-0.3389830508,-0.2278481013,-1.175213675,-69
31/01/2025 15:23:23.656,67,-0.3474576271,-0.2151898734,-1.175213675,-70
31/01/2025 15:23:23.756,68,-0.3177966102,-0.2067510549,-1.175213675,-71
31/01/2025 15:23:23.856,69,-0.3177966102,-0.223628692,-1.162393162,-70
31/01/2025 15:23:23.956,70,-0.3305084746,-0.223628692,-1.158119658,-71
31/01/2025 15:23:24.055,71,-0.3305084746,-0.2320675105,-1.175213675,-71
31/01/2025 15:23:24.156,72,-0.3262711864,-0.2278481013,-1.170940171,-71
31/01/2025 15:23:24.256,73,-0.3262711864,-0.2067510549,-1.162393162,-69
31/01/2025 15:23:24.356,74,-0.3220338983,-0.2151898734,-1.179487179,-67
31/01/2025 15:23:24.456,75,-0.313559322,-0.223628692,-1.166666667,-67
31/01/2025 15:23:24.555,76,-0.3262711864,-0.2109704641,-1.166666667,-67
31/01/2025 15:23:24.656,77,-0.3262711864,-0.2109704641,-1.170940171,-67
31/01/2025 15:23:24.756,78,-0.3177966102,-0.2151898734,-1.179487179,-67
31/01/2025 15:23:24.856,79,-0.3177966102,-0.2151898734,-1.170940171,-67
31/01/2025 15:23:24.956,80,-0.3305084746,-0.223628692,-1.175213675,-67
31/01/2025 15:23:25.056,81,-0.3305084746,-0.2151898734,-1.162393162,-68
31/01/2025 15:23:25.155,82,-0.3177966102,-0.2194092827,-1.170940171,-69
31/01/2025 15:23:25.256,83,-0.3389830508,-0.2194092827,-1.170940171,-69
31/01/2025 15:23:25.356,84,-0.3389830508,-0.2278481013,-1.166666667,-69
31/01/2025 15:23:25.456,85,-0.3220338983,-0.2151898734,-1.170940171,-69
31/01/2025 15:23:25.556,86,-0.3177966102,-0.223628692,-1.170940171,-67
31/01/2025 15:23:25.655,87,-0.3389830508,-0.2151898734,-1.170940171,-67
31/01/2025 15:23:25.756,88,-0.313559322,-0.2109704641,-1.183760684,-67
31/01/2025 15:23:25.856,89,-0.3177966102,-0.2109704641,-1.188034188,-67
31/01/2025 15:23:25.956,90,-0.3177966102,-0.2151898734,-1.166666667,-67
31/01/2025 15:23:26.056,91,-0.3220338983,-0.2194092827,-1.179487179,-69
31/01/2025 15:23:26.155,92,-0.3347457627,-0.2109704641,-1.158119658,-69
31/01/2025 15:23:26.256,93,-0.313559322,-0.223628692,-1.166666667,-69
31/01/2025 15:23:26.356,94,-0.3220338983,-0.223628692,-1.162393162,-71
31/01/2025 15:23:26.456,95,-0.3262711864,-0.2278481013,-1.162393162,-73
31/01/2025 15:23:26.556,96,-0.3347457627,-0.2278481013,-1.166666667,-73
31/01/2025 15:23:26.655,97,-0.3347457627,-0.2194092827,-1.170940171,-73
31/01/2025 15:23:26.756,98,-0.313559322,-0.2194092827,-1.179487179,-73
31/01/2025 15:23:26.856,99,-0.3220338983,-0.2194092827,-1.170940171,-73
31/01/2025 15:23:26.956,100,-0.3305084746,-0.2194092827,-1.183760684,-75
31/01/2025 15:23:27.056,101,-0.3177966102,-0.2067510549,-1.175213675,-69
31/01/2025 15:23:27.155,102,-0.313559322,-0.2194092827,-1.183760684,-69
31/01/2025 15:23:27.256,103,-0.3389830508,-0.2151898734,-1.170940171,-73
31/01/2025 15:23:27.356,104,-0.313559322,-0.2151898734,-1.162393162,-71
