FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,27/01/2025 15:21:53.575
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431699456
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
27/01/2025 15:21:53.575,0,-0.1271186441,-0.06329113924,-1.072649573,-66
27/01/2025 15:21:53.675,1,-0.3389830508,-0.2194092827,-1.158119658,-65
27/01/2025 15:21:53.775,2,-0.3177966102,-0.2194092827,-1.158119658,-65
27/01/2025 15:21:53.875,3,-0.3347457627,-0.2194092827,-1.170940171,-65
27/01/2025 15:21:53.975,4,-0.3305084746,-0.2194092827,-1.175213675,-65
27/01/2025 15:21:54.075,5,-0.3262711864,-0.2151898734,-1.175213675,-65
27/01/2025 15:21:54.175,6,-0.3262711864,-0.223628692,-1.166666667,-67
27/01/2025 15:21:54.274,7,-0.3389830508,-0.2109704641,-1.170940171,-67
27/01/2025 15:21:54.375,8,-0.3220338983,-0.2278481013,-1.183760684,-64
27/01/2025 15:21:54.475,9,-0.3389830508,-0.2151898734,-1.183760684,-63
27/01/2025 15:21:54.575,10,-0.3347457627,-0.223628692,-1.183760684,-65
27/01/2025 15:21:54.675,11,-0.313559322,-0.223628692,-1.188034188,-67
27/01/2025 15:21:54.775,12,-0.3389830508,-0.2194092827,-1.158119658,-65
27/01/2025 15:21:54.875,13,-0.3177966102,-0.2194092827,-1.175213675,-65
27/01/2025 15:21:54.974,14,-0.3347457627,-0.223628692,-1.158119658,-65
27/01/2025 15:21:55.075,15,-0.343220339,-0.2194092827,-1.158119658,-67
27/01/2025 15:21:55.375,18,-0.3347457627,-0.223628692,-1.170940171,-65
27/01/2025 15:21:55.474,19,-0.3177966102,-0.2278481013,-1.170940171,-67
27/01/2025 15:21:55.575,20,-0.3220338983,-0.2194092827,-1.166666667,-65
27/01/2025 15:21:55.675,21,-0.343220339,-0.2194092827,-1.162393162,-66
27/01/2025 15:21:55.775,22,-0.343220339,-0.2194092827,-1.175213675,-67
27/01/2025 15:21:55.874,23,-0.3305084746,-0.223628692,-1.188034188,-66
27/01/2025 15:21:55.975,24,-0.3177966102,-0.2278481013,-1.183760684,-66
27/01/2025 15:21:56.075,25,-0.3220338983,-0.2194092827,-1.183760684,-65
27/01/2025 15:21:56.275,27,-0.3220338983,-0.2194092827,-1.170940171,-65
