FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,31/01/2025 15:59:44.604
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
31/01/2025 15:59:44.604,0,-0.1228813559,-0.06751054852,-1.068376068,-70
31/01/2025 15:59:44.704,1,-0.3347457627,-0.2278481013,-1.166666667,-71
31/01/2025 15:59:44.804,2,-0.3177966102,-0.2151898734,-1.179487179,-73
31/01/2025 15:59:44.904,3,-0.3262711864,-0.2278481013,-1.183760684,-73
31/01/2025 15:59:45.004,4,-0.3347457627,-0.223628692,-1.179487179,-73
31/01/2025 15:59:45.104,5,-0.3305084746,-0.2194092827,-1.170940171,-69
31/01/2025 15:59:45.204,6,-0.313559322,-0.2278481013,-1.162393162,-67
31/01/2025 15:59:45.303,7,-0.3347457627,-0.2067510549,-1.166666667,-67
31/01/2025 15:59:45.404,8,-0.3177966102,-0.2109704641,-1.175213675,-67
31/01/2025 15:59:45.504,9,-0.3220338983,-0.223628692,-1.162393162,-73
31/01/2025 15:59:45.604,10,-0.3262711864,-0.223628692,-1.175213675,-78
31/01/2025 15:59:45.704,11,-0.3262711864,-0.2194092827,-1.170940171,-71
31/01/2025 15:59:45.804,12,-0.3220338983,-0.2151898734,-1.166666667,-75
31/01/2025 15:59:45.904,13,-0.3347457627,-0.223628692,-1.183760684,-75
31/01/2025 15:59:46.003,14,-0.3220338983,-0.223628692,-1.192307692,-70
31/01/2025 15:59:46.104,15,-0.3347457627,-0.2194092827,-1.175213675,-71
31/01/2025 15:59:46.204,16,-0.3177966102,-0.2067510549,-1.183760684,-71
31/01/2025 15:59:46.304,17,-0.3305084746,-0.2278481013,-1.162393162,-70
31/01/2025 15:59:46.404,18,-0.3177966102,-0.2278481013,-1.166666667,-71
31/01/2025 15:59:46.503,19,-0.3220338983,-0.2194092827,-1.170940171,-73
31/01/2025 15:59:46.604,20,-0.3347457627,-0.2278481013,-1.175213675,-71
31/01/2025 15:59:46.704,21,-0.3262711864,-0.2194092827,-1.162393162,-73
31/01/2025 15:59:46.804,22,-0.3177966102,-0.2320675105,-1.166666667,-73
31/01/2025 15:59:46.903,23,-0.3220338983,-0.2194092827,-1.170940171,-72
31/01/2025 15:59:47.004,24,-0.3347457627,-0.2067510549,-1.175213675,-67
31/01/2025 15:59:47.104,25,-0.3305084746,-0.2278481013,-1.166666667,-67
31/01/2025 15:59:47.204,26,-0.313559322,-0.2109704641,-1.132478632,-67
31/01/2025 15:59:47.304,27,-0.3177966102,-0.2151898734,-1.166666667,-67
31/01/2025 15:59:47.403,28,-0.3177966102,-0.2109704641,-1.183760684,-67
31/01/2025 15:59:47.504,29,-0.3008474576,-0.2194092827,-1.188034188,-67
31/01/2025 15:59:47.604,30,-0.3177966102,-0.2109704641,-1.175213675,-69
31/01/2025 15:59:47.704,31,-0.3389830508,-0.2151898734,-1.170940171,-70
31/01/2025 15:59:47.804,32,-0.3347457627,-0.2278481013,-1.170940171,-71
31/01/2025 15:59:47.903,33,-0.3262711864,-0.223628692,-1.166666667,-71
31/01/2025 15:59:48.004,34,-0.3262711864,-0.2194092827,-1.170940171,-69
31/01/2025 15:59:48.204,36,-0.3305084746,-0.2278481013,-1.170940171,-70
31/01/2025 15:59:48.304,37,-0.3262711864,-0.2151898734,-1.166666667,-71
31/01/2025 15:59:48.403,38,-0.3305084746,-0.2194092827,-1.162393162,-69
31/01/2025 15:59:48.504,39,-0.313559322,-0.2278481013,-1.166666667,-69
31/01/2025 15:59:48.604,40,-0.3050847458,-0.223628692,-1.158119658,-69
31/01/2025 15:59:48.703,41,-0.3177966102,-0.2067510549,-1.162393162,-68
31/01/2025 15:59:48.804,42,-0.3093220339,-0.2109704641,-1.175213675,-68
31/01/2025 15:59:48.904,43,-0.3220338983,-0.2278481013,-1.183760684,-67
31/01/2025 15:59:49.004,44,-0.3177966102,-0.223628692,-1.179487179,-67
31/01/2025 15:59:49.104,45,-0.3305084746,-0.2194092827,-1.183760684,-67
31/01/2025 15:59:49.203,46,-0.3389830508,-0.2194092827,-1.170940171,-68
31/01/2025 15:59:49.304,47,-0.3389830508,-0.2278481013,-1.170940171,-69
31/01/2025 15:59:49.404,48,-0.3262711864,-0.2194092827,-1.166666667,-70
31/01/2025 15:59:49.504,49,-0.3093220339,-0.2109704641,-1.170940171,-70
31/01/2025 15:59:49.604,50,-0.313559322,-0.2151898734,-1.162393162,-71
31/01/2025 15:59:49.703,51,-0.3220338983,-0.223628692,-1.183760684,-72
31/01/2025 15:59:49.804,52,-0.3305084746,-0.2151898734,-1.162393162,-71
31/01/2025 15:59:49.904,53,-0.3262711864,-0.223628692,-1.166666667,-72
31/01/2025 15:59:50.104,55,-0.3347457627,-0.2278481013,-1.183760684,-71
31/01/2025 15:59:50.203,56,-0.3177966102,-0.2151898734,-1.166666667,-71
31/01/2025 15:59:50.304,57,-0.3050847458,-0.2109704641,-1.183760684,-71
31/01/2025 15:59:50.404,58,-0.3177966102,-0.2194092827,-1.170940171,-69
31/01/2025 15:59:50.504,59,-0.313559322,-0.223628692,-1.170940171,-69
31/01/2025 15:59:50.604,60,-0.313559322,-0.2194092827,-1.175213675,-69
31/01/2025 15:59:50.703,61,-0.3389830508,-0.2194092827,-1.166666667,-71
31/01/2025 15:59:50.804,62,-0.3389830508,-0.2194092827,-1.158119658,-72
31/01/2025 15:59:50.904,63,-0.3389830508,-0.2109704641,-1.170940171,-73
31/01/2025 15:59:51.004,64,-0.3050847458,-0.2151898734,-1.175213675,-71
31/01/2025 15:59:51.104,65,-0.3050847458,-0.2194092827,-1.166666667,-71
31/01/2025 15:59:51.203,66,-0.3262711864,-0.2278481013,-1.166666667,-71
31/01/2025 15:59:51.304,67,-0.3389830508,-0.2109704641,-1.179487179,-70
31/01/2025 15:59:51.404,68,-0.3305084746,-0.2067510549,-1.170940171,-68
31/01/2025 15:59:51.504,69,-0.3220338983,-0.2151898734,-1.170940171,-67
31/01/2025 15:59:51.604,70,-0.313559322,-0.223628692,-1.175213675,-67
31/01/2025 15:59:51.703,71,-0.3262711864,-0.223628692,-1.162393162,-69
31/01/2025 15:59:51.804,72,-0.3347457627,-0.2194092827,-1.179487179,-70
31/01/2025 15:59:52.004,74,-0.3050847458,-0.2194092827,-1.158119658,-68
31/01/2025 15:59:52.104,75,-0.313559322,-0.223628692,-1.175213675,-71
31/01/2025 15:59:52.203,76,-0.3347457627,-0.2151898734,-1.170940171,-71
31/01/2025 15:59:52.304,77,-0.3305084746,-0.2067510549,-1.162393162,-67
31/01/2025 15:59:52.404,78,-0.3177966102,-0.2278481013,-1.170940171,-66
31/01/2025 15:59:52.504,79,-0.3347457627,-0.2194092827,-1.166666667,-65
31/01/2025 15:59:52.604,80,-0.3262711864,-0.2194092827,-1.183760684,-67
31/01/2025 15:59:52.704,81,-0.3220338983,-0.2151898734,-1.166666667,-75
31/01/2025 15:59:52.803,82,-0.3389830508,-0.2151898734,-1.166666667,-81
31/01/2025 15:59:52.904,83,-0.3177966102,-0.2194092827,-1.175213675,-81
31/01/2025 15:59:53.004,84,-0.3177966102,-0.2151898734,-1.183760684,-79
31/01/2025 15:59:53.104,85,-0.3347457627,-0.2194092827,-1.166666667,-83
31/01/2025 15:59:53.204,86,-0.3347457627,-0.2151898734,-1.170940171,-85
31/01/2025 15:59:53.303,87,-0.3262711864,-0.2151898734,-1.170940171,-75
31/01/2025 15:59:53.404,88,-0.3093220339,-0.2109704641,-1.162393162,-71
31/01/2025 15:59:53.504,89,-0.3262711864,-0.2151898734,-1.170940171,-69
31/01/2025 15:59:53.604,90,-0.3347457627,-0.2194092827,-1.162393162,-68
31/01/2025 15:59:53.704,91,-0.3305084746,-0.2109704641,-1.166666667,-69
31/01/2025 15:59:53.904,93,-0.3220338983,-0.2151898734,-1.166666667,-69
31/01/2025 15:59:54.004,94,-0.3305084746,-0.2194092827,-1.175213675,-69
31/01/2025 15:59:54.104,95,-0.3093220339,-0.2067510549,-1.183760684,-67
31/01/2025 15:59:54.204,96,-0.3093220339,-0.2278481013,-1.166666667,-66
31/01/2025 15:59:54.303,97,-0.3347457627,-0.2194092827,-1.183760684,-67
31/01/2025 15:59:54.404,98,-0.3305084746,-0.2151898734,-1.175213675,-67
31/01/2025 15:59:54.504,99,-0.313559322,-0.2194092827,-1.175213675,-67
31/01/2025 15:59:54.604,100,-0.3177966102,-0.2194092827,-1.166666667,-67
31/01/2025 15:59:54.704,101,-0.3220338983,-0.2194092827,-1.170940171,-67
31/01/2025 15:59:54.803,102,-0.3093220339,-0.2194092827,-1.162393162,-67
31/01/2025 15:59:54.904,103,-0.3389830508,-0.2151898734,-1.179487179,-67
31/01/2025 15:59:55.004,104,-0.3262711864,-0.2109704641,-1.158119658,-67
31/01/2025 15:59:55.104,105,-0.3177966102,-0.2278481013,-1.166666667,-69
31/01/2025 15:59:55.204,106,-0.3220338983,-0.2194092827,-1.162393162,-67
31/01/2025 15:59:55.303,107,-0.3220338983,-0.2067510549,-1.188034188,-67
31/01/2025 15:59:55.404,108,-0.3347457627,-0.2194092827,-1.166666667,-66
31/01/2025 15:59:55.504,109,-0.3262711864,-0.2194092827,-1.175213675,-67
31/01/2025 15:59:55.604,110,-0.313559322,-0.2194092827,-1.170940171,-66
31/01/2025 15:59:55.704,111,-0.3262711864,-0.223628692,-1.183760684,-65
31/01/2025 15:59:55.803,112,-0.3177966102,-0.2194092827,-1.158119658,-66
31/01/2025 15:59:55.904,113,-0.3220338983,-0.223628692,-1.158119658,-67
31/01/2025 15:59:56.004,114,-0.3093220339,-0.2067510549,-1.162393162,-66
31/01/2025 15:59:56.104,115,-0.3305084746,-0.223628692,-1.166666667,-67
31/01/2025 15:59:56.204,116,-0.3305084746,-0.2194092827,-1.153846154,-67
31/01/2025 15:59:56.303,117,-0.3093220339,-0.2320675105,-1.175213675,-67
31/01/2025 15:59:56.404,118,-0.3347457627,-0.223628692,-1.175213675,-67
31/01/2025 15:59:56.504,119,-0.3177966102,-0.2151898734,-1.170940171,-69
31/01/2025 15:59:56.604,120,-0.343220339,-0.223628692,-1.170940171,-69
31/01/2025 15:59:56.704,121,-0.3093220339,-0.2194092827,-1.158119658,-68
31/01/2025 15:59:56.904,123,-0.3262711864,-0.2151898734,-1.175213675,-67
31/01/2025 15:59:57.004,124,-0.3220338983,-0.2151898734,-1.166666667,-67
31/01/2025 15:59:57.104,125,-0.3305084746,-0.2151898734,-1.183760684,-67
31/01/2025 15:59:57.204,126,-0.3220338983,-0.2025316456,-1.162393162,-67
31/01/2025 15:59:57.303,127,-0.3347457627,-0.2194092827,-1.162393162,-67
31/01/2025 15:59:57.404,128,-0.3220338983,-0.2194092827,-1.162393162,-67
31/01/2025 15:59:57.504,129,-0.3305084746,-0.2194092827,-1.179487179,-67
31/01/2025 15:59:57.604,130,-0.3220338983,-0.2151898734,-1.158119658,-67
31/01/2025 15:59:57.704,131,-0.3220338983,-0.2194092827,-1.170940171,-67
31/01/2025 15:59:57.803,132,-0.3262711864,-0.2151898734,-1.175213675,-67
31/01/2025 15:59:57.904,133,-0.3093220339,-0.2278481013,-1.166666667,-67
31/01/2025 15:59:58.004,134,-0.3347457627,-0.2151898734,-1.170940171,-67
31/01/2025 15:59:58.104,135,-0.3347457627,-0.2151898734,-1.166666667,-67
31/01/2025 15:59:58.204,136,-0.313559322,-0.2194092827,-1.175213675,-67
31/01/2025 15:59:58.303,137,-0.3305084746,-0.2194092827,-1.166666667,-67
31/01/2025 15:59:58.404,138,-0.3093220339,-0.2194092827,-1.175213675,-67
31/01/2025 15:59:58.504,139,-0.3305084746,-0.2109704641,-1.183760684,-67
31/01/2025 15:59:58.604,140,-0.313559322,-0.2278481013,-1.162393162,-66
31/01/2025 15:59:58.704,141,-0.3220338983,-0.2151898734,-1.175213675,-67
31/01/2025 15:59:58.803,142,-0.3305084746,-0.2151898734,-1.179487179,-66
31/01/2025 15:59:58.904,143,-0.3177966102,-0.2067510549,-1.162393162,-65
31/01/2025 15:59:59.004,144,-0.3177966102,-0.223628692,-1.175213675,-66
31/01/2025 15:59:59.104,145,-0.313559322,-0.2109704641,-1.183760684,-66
