FILE_INFO
ListSeparator=comma
DecimalSeparator=period

SESSION_INFO
TimeZone,GMT
TimeZoneOffset,+0
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn
StartTime,31/01/2025 15:30:55.040
TimeFormat,Absolute
TimeSource,PC

DEVICE_INFO
Port,COM 5
BaseSerial,2615-1218
Address,417
ModelName,G-Link 2G
SerialNumber,2313--1431697296
FirmwareVersion,6.03

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0,
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0,
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0,
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,,

DATA_START
Time,Tick,ch1,ch2,ch3,Base RSSI
31/01/2025 15:30:55.040,1,-0.3262711864,-0.2194092827,-1.170940171,-71
31/01/2025 15:30:55.140,2,-0.3389830508,-0.2151898734,-1.179487179,-70
31/01/2025 15:30:55.240,3,-0.3220338983,-0.2320675105,-1.175213675,-71
31/01/2025 15:30:55.340,4,-0.3220338983,-0.223628692,-1.179487179,-71
31/01/2025 15:30:55.640,7,-0.3177966102,-0.2278481013,-1.170940171,-72
31/01/2025 15:30:55.739,8,-0.3262711864,-0.223628692,-1.166666667,-70
31/01/2025 15:30:55.840,9,-0.3389830508,-0.2278481013,-1.166666667,-70
31/01/2025 15:30:55.940,10,-0.3305084746,-0.223628692,-1.170940171,-69
31/01/2025 15:30:56.040,11,-0.3305084746,-0.2194092827,-1.183760684,-71
31/01/2025 15:30:56.140,12,-0.3347457627,-0.223628692,-1.170940171,-69
31/01/2025 15:30:56.240,13,-0.313559322,-0.2194092827,-1.188034188,-70
31/01/2025 15:30:56.439,15,-0.313559322,-0.2151898734,-1.183760684,-72
31/01/2025 15:30:56.540,16,-0.3177966102,-0.2278481013,-1.162393162,-73
31/01/2025 15:30:56.640,17,-0.3220338983,-0.223628692,-1.166666667,-73
31/01/2025 15:30:56.939,20,-0.3474576271,-0.223628692,-1.205128205,-71
31/01/2025 15:30:57.040,21,-0.3220338983,-0.2194092827,-1.166666667,-71
31/01/2025 15:30:57.140,22,-0.3050847458,-0.223628692,-1.166666667,-70
31/01/2025 15:30:57.240,23,-0.3262711864,-0.2278481013,-1.183760684,-71
31/01/2025 15:30:57.339,24,-0.3093220339,-0.223628692,-1.162393162,-73
31/01/2025 15:30:57.440,25,-0.3262711864,-0.2278481013,-1.183760684,-71
31/01/2025 15:30:57.540,26,-0.3177966102,-0.2151898734,-1.179487179,-71
31/01/2025 15:30:57.640,27,-0.343220339,-0.2151898734,-1.170940171,-69
31/01/2025 15:30:57.740,28,-0.3305084746,-0.2067510549,-1.170940171,-73
31/01/2025 15:30:57.839,29,-0.3220338983,-0.2067510549,-1.162393162,-69
31/01/2025 15:30:57.940,30,-0.3347457627,-0.2067510549,-1.170940171,-72
31/01/2025 15:30:58.040,31,-0.3347457627,-0.2151898734,-1.158119658,-73
31/01/2025 15:30:58.140,32,-0.3220338983,-0.2194092827,-1.158119658,-75
31/01/2025 15:30:58.240,33,-0.3050847458,-0.2278481013,-1.166666667,-77
31/01/2025 15:30:58.339,34,-0.3305084746,-0.2320675105,-1.179487179,-78
31/01/2025 15:30:58.440,35,-0.3093220339,-0.2405063291,-1.170940171,-75
31/01/2025 15:30:58.540,36,-0.3305084746,-0.2320675105,-1.162393162,-72
31/01/2025 15:30:58.640,37,-0.3389830508,-0.2320675105,-1.166666667,-73
31/01/2025 15:30:58.839,39,-0.3220338983,-0.2067510549,-1.166666667,-70
31/01/2025 15:30:58.940,40,-0.3220338983,-0.2025316456,-1.183760684,-70
31/01/2025 15:30:59.040,41,-0.3177966102,-0.2067510549,-1.170940171,-73
31/01/2025 15:30:59.139,42,-0.3050847458,-0.2067510549,-1.179487179,-73
31/01/2025 15:30:59.240,43,-0.3347457627,-0.2151898734,-1.179487179,-73
31/01/2025 15:30:59.340,44,-0.3347457627,-0.2320675105,-1.175213675,-73
31/01/2025 15:30:59.440,45,-0.3220338983,-0.2447257384,-1.175213675,-78
31/01/2025 15:30:59.540,46,-0.3220338983,-0.2320675105,-1.158119658,-79
31/01/2025 15:30:59.639,47,-0.3177966102,-0.2320675105,-1.175213675,-77
31/01/2025 15:30:59.740,48,-0.3389830508,-0.2194092827,-1.183760684,-77
31/01/2025 15:30:59.840,49,-0.343220339,-0.2067510549,-1.188034188,-73
31/01/2025 15:30:59.940,50,-0.3347457627,-0.2025316456,-1.188034188,-71
31/01/2025 15:31:00.040,51,-0.3305084746,-0.1983122363,-1.183760684,-69
31/01/2025 15:31:00.139,52,-0.3093220339,-0.1983122363,-1.179487179,-71
31/01/2025 15:31:00.240,53,-0.3262711864,-0.2025316456,-1.175213675,-69
31/01/2025 15:31:00.340,54,-0.3177966102,-0.2109704641,-1.153846154,-73
31/01/2025 15:31:00.440,55,-0.3093220339,-0.2194092827,-1.162393162,-75
31/01/2025 15:31:00.740,58,-0.3389830508,-0.2447257384,-1.170940171,-73
31/01/2025 15:31:00.840,59,-0.3177966102,-0.2320675105,-1.166666667,-73
31/01/2025 15:31:00.940,60,-0.3177966102,-0.2194092827,-1.166666667,-76
31/01/2025 15:31:01.040,61,-0.3093220339,-0.2194092827,-1.170940171,-75
31/01/2025 15:31:01.139,62,-0.3262711864,-0.2151898734,-1.170940171,-73
